Id,Id_Hote,Nom_Hote,Quartier,Latitude,Longitude,Type,Prix,Min_nuits,Dernier_avis,Avis_par_mois,Disponibilite
5293465,5862053,Alexana,Passy,48.84308815342514,2.264739576421602,Entire_home/apt,70,1,,,365
4900240,22875546,Adele,Passy,48.85979282763331,2.2793954147893003,Entire_home/apt,120,2,2015-08-24,1.3,248
899814,4505535,Brigitte,Passy,48.84012925430493,2.2624832968363617,Entire_home/apt,70,1,2015-07-08,1.58,354
3376752,17035826,,Passy,48.85786983220514,2.279886244431484,Entire_home/apt,150,1,,,365
6791001,13175458,Fanny,Passy,48.86505042394712,2.2915181569254868,Entire_home/apt,140,5,,,338
466434,2316378,Rod,Passy,48.86648242472172,2.2733584802648754,Entire_home/apt,129,15,2015-06-22,0.43,327
6781299,35500128,Ewa,Passy,48.8415519700141,2.2631862810754364,Entire_home/apt,65,4,2015-08-07,1.64,245
7372676,7732972,Jean-Baptiste,Passy,48.84095171733976,2.268199114319949,Entire_home/apt,80,2,,,23
899165,3116480,Emeric,Passy,48.86024525388259,2.2821002732159705,Entire_home/apt,95,3,2015-06-07,0.28,329
2930614,14965108,Felicia,Passy,48.87037655284799,2.2893976649036887,Entire_home/apt,69,2,2015-06-30,2.84,314
2013730,8317706,Rodolphe,Passy,48.83779131484591,2.2620480683514894,Entire_home/apt,85,2,2015-06-08,1.08,135
5172391,26746354,Sherazade,Passy,48.83849235801034,2.26598129708552,Private_room,100,1,,,365
6904801,5886277,Nathan,Passy,48.84944669219734,2.277231758941959,Entire_home/apt,57,4,,,49
5199936,2288803,Fabien,Passy,48.8679613400945,2.2831067154757605,Entire_home/apt,578,5,2015-04-12,0.38,310
4353626,22600474,Jacques,Passy,48.85324092872431,2.2756400085974207,Entire_home/apt,224,4,2015-08-06,1.0,365
7171418,29165887,Yael,Passy,48.86896436862836,2.2758665167554737,Entire_home/apt,75,1,,,355
869842,3421319,Claude,Passy,48.85896763827007,2.2881815693152125,Entire_home/apt,185,3,2015-08-27,2.17,344
6492708,33934294,Carlos,Passy,48.83804874116535,2.2609003148855966,Entire_home/apt,100,3,,,246
7867512,41463297,Youmna,Passy,48.87190888908138,2.2909416798418007,Entire_home/apt,80,1,,,360
4983566,16299763,Vincent,Passy,48.84394164141931,2.2632969317673184,Entire_home/apt,70,1,2015-05-25,0.84,213
6086536,31391247,Zoé,Passy,48.859582921084005,2.2799652072533023,Entire_home/apt,89,3,2015-07-30,1.46,339
7714743,26810171,Vadim,Passy,48.85956701087338,2.275666816483412,Entire_home/apt,85,2,,,343
7478860,39102038,Pascale,Passy,48.865533356852026,2.27379341564882,Entire_home/apt,300,1,,,20
3050416,15529673,Carole,Passy,48.85488201312776,2.2663957328673323,Entire_home/apt,105,5,2015-06-19,0.52,365
6405886,32033208,Alain,Passy,48.87033395685215,2.2891168631884544,Entire_home/apt,39,1,2015-08-01,2.47,311
8126617,26989749,Lucile,Passy,48.854385869548615,2.2697567253717708,Entire_home/apt,40,1,,,343
6758609,35383978,Catherine,Passy,48.853555430131465,2.273113074030343,Entire_home/apt,95,1,2015-07-14,1.0,57
4075511,17727094,Apolline,Passy,48.86636062840208,2.2808187715603085,Entire_home/apt,120,2,2015-06-20,0.66,364
1068984,5881030,Jean Marc / Kseniya,Passy,48.8650138252115,2.2943871030412857,Entire_home/apt,84,4,2015-08-21,2.25,252
5388185,27932405,Amélia,Passy,48.86030686256931,2.284110705534501,Entire_home/apt,70,1,,,170
2985029,9485538,Antoine,Passy,48.859808084802296,2.284147656623127,Entire_home/apt,338,7,,,365
5223829,23822757,Marlyn,Passy,48.85760319477521,2.2835956796583106,Entire_home/apt,130,1,2015-03-19,0.36,258
4004121,20761250,Virginie,Passy,48.85476841923382,2.2783387578213308,Private_room,110,1,,,365
7833838,4608002,Sylvain,Passy,48.8468615648525,2.268551903597272,Private_room,50,2,,,329
6627487,2487006,Tylan,Passy,48.853666777331846,2.2823477416241165,Private_room,100,1,2015-07-06,0.5,61
